season,round,circuit_id,date,url,driver,date_of_birth,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,3,4,66.0,0.0,3.0,87.0,0.0,3.0,1:10.641
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,gasly,1996-02-07,French,red_bull,8,5,21.0,0.0,6.0,87.0,0.0,3.0,1:11.041
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,9,6,10.0,0.0,11.0,22.0,0.0,4.0,1:11.417
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,kvyat,1994-04-26,Russian,toro_rosso,7,7,3.0,0.0,16.0,6.0,0.0,9.0,1:11.271
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,albon,1996-03-23,Thai,toro_rosso,10,8,3.0,0.0,15.0,6.0,0.0,9.0,1:11.653
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,ricciardo,1989-07-01,Australian,renault,6,9,6.0,0.0,12.0,12.0,0.0,8.0,1:11.218
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,grosjean,1986-04-17,French,haas,13,10,1.0,0.0,17.0,15.0,0.0,6.0,1:12.027
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,norris,1999-11-13,British,mclaren,12,11,12.0,0.0,10.0,22.0,0.0,4.0,1:11.724
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,perez,1990-01-26,Mexican,racing_point,16,12,13.0,0.0,8.0,17.0,0.0,5.0,1:12.233
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,hulkenberg,1987-08-19,German,renault,11,13,6.0,0.0,13.0,12.0,0.0,8.0,1:11.670
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,kevin_magnussen,1992-10-05,Danish,haas,5,14,14.0,0.0,7.0,15.0,0.0,6.0,1:11.109
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,russell,1998-02-15,British,williams,19,15,0.0,0.0,19.0,0.0,0.0,10.0,1:13.477
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,17,16,4.0,0.0,14.0,17.0,0.0,5.0,1:12.846
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,raikkonen,1979-10-17,Finnish,alfa,14,17,13.0,0.0,9.0,13.0,0.0,7.0,1:12.115
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,kubica,1984-12-07,Polish,williams,20,18,0.0,0.0,20.0,0.0,0.0,10.0,1:13.751
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,18,19,0.0,0.0,18.0,13.0,0.0,7.0,1:12.185
2019,6,monaco,2019-05-26,http://en.wikipedia.org/wiki/2019_Monaco_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,15,20,57.0,0.0,5.0,121.0,0.0,2.0,1:12.149
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,hamilton,1985-01-07,British,mercedes,2,1,137.0,4.0,1.0,257.0,6.0,1.0,1:10.446
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,vettel,1987-07-03,German,ferrari,1,2,82.0,0.0,3.0,139.0,0.0,2.0,1:10.240
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,leclerc,1997-10-16,Monegasque,ferrari,3,3,57.0,0.0,5.0,139.0,0.0,2.0,1:10.920
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,bottas,1989-08-28,Finnish,mercedes,6,4,120.0,2.0,2.0,257.0,6.0,1.0,1:11.101
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,max_verstappen,1997-09-30,Dutch,red_bull,9,5,78.0,0.0,4.0,110.0,0.0,3.0,1:11.800
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,ricciardo,1989-07-01,Australian,renault,4,6,8.0,0.0,13.0,14.0,0.0,8.0,1:11.071
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,hulkenberg,1987-08-19,German,renault,7,7,6.0,0.0,15.0,14.0,0.0,8.0,1:11.324
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,gasly,1996-02-07,French,red_bull,5,8,32.0,0.0,6.0,110.0,0.0,3.0,1:11.079
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,stroll,1998-10-29,Canadian,racing_point,17,9,4.0,0.0,16.0,17.0,0.0,5.0,1:12.266
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,kvyat,1994-04-26,Russian,toro_rosso,10,10,9.0,0.0,12.0,16.0,0.0,7.0,1:11.921
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,sainz,1994-09-01,Spanish,mclaren,11,11,18.0,0.0,7.0,30.0,0.0,4.0,1:13.981
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,perez,1990-01-26,Mexican,racing_point,15,12,13.0,0.0,9.0,17.0,0.0,5.0,1:12.197
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,giovinazzi,1993-12-14,Italian,alfa,12,13,0.0,0.0,18.0,13.0,0.0,9.0,1:12.136
2019,7,villeneuve,2019-06-09,http://en.wikipedia.org/wiki/2019_Canadian_Grand_Prix,grosjean,1986-04-17,French,haas,14,14,2.0,0.0,17.0,16.0,0.0,6.0,
